legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
Great Expectations,grtexp.co,Seattle,Washington,98102,,1112,Federal Avenue East,United States,linkedin.com/company/grtexp,,Syndication,Affordable Housing,,,,,,
Arei Group,areigrp.com,New York,New York,,,,,United States,linkedin.com/company/areigrp,,,Apartments,,,,,,
Avance Capital,avancecapitalllc.com,,,,,,,,linkedin.com/company/avancecapital,,Syndication,Apartments,,,,,,
BridgeGaps Real Estate,bridgegaps.com,,,,,,,,,167000000,Syndication,Apartments,,,,,,
Redwood Living,byredwood.com,,,,,,,Canada,,,,Apartments,,,,,,
Common Sense Ventures,commonsense.ventures,San Antonio,Texas,,,,,United States,,150000000,Syndication,Apartments,,,,,,
Vivo Investments,vivoinvestmentgroup.com,,,,,,,,,,Syndication,Apartments,,,,,,
Icon Heritage Partners,iconheritagepartners.com,Atlanta,Georgia,,,,,United States,linkedin.com/company/icon-heritage-partners,,Fund,"Apartments, Housing",,,,,,
Ashland Capital,ashlandcapitalfund.com,,,,,,,,linkedin.com/company/ashland-capital,,Syndication,"Apartments, Multifamily",,,,,,
XSITE Capital Investment,xsitecapital.com,Washington,District of Columbia,20001,,,,United States,linkedin.com/company/xsite-capital,168000000,Syndication,"Apartments, Multifamily",,,,,,
Ritmo Properties,bozzuto.com,,,,,,,Canada,,,Syndication,Apartments,,,,,,
Darwin German Real Estate Investments,darwingerman.com,Irving,Texas,75063,,9901,Valley Ranch Parkway East,United States,linkedin.com/company/darwin-german-real-estate-investments,,Syndication,Apartments,,,,,,
Davlyn Investments,davlyninvestments.com,San Diego,California,92130,,12625,High Bluff Drive,United States,linkedin.com/company/davlyn-investments-property-management,,Syndication,Apartments,,,,,,
"First Cornerstone Group, LLC",fcgllc.com,,,,,,,,,,,Apartments,,,,,,
Fountain Residential Partners,fountainresidential.com,Dallas,Texas,,,,,United States,linkedin.com/company/fountain-residential-partners,,,Apartments,,,,,,
HLC Equity,hlcequity.com,,,,,,,,linkedin.com/company/hlc-equity,,Syndication,Apartments,,,,,,
Housing Diversity Corporation,housingdiversity.com,Seattle,Washington,98122,,500,Broadway,United States,https://www.linkedin.com/company/housing-diversity/,,,Apartments,,,,,,
Impact Equity,impactequity.net,Peoria,Arizona,85382,,9015,West Union Hills Drive,United States,linkedin.com/company/impact-equity-llc,,Fund,Apartments,,,,,,
LYND Living,lynd.com,,,,,,,,,,,Apartments,,,,,,
